form	lemma	POS	morph
		
ཀ་	ཀ་	DET
༽		PUNCT
སྟོནཔ་		NON_WORD
།		PUNCT
འཇམཔདབྱངས་		NON_WORD
།		PUNCT
ཀླུཔསྒྲུབ་		NON_WORD
།		PUNCT
གསངཔའདུས་		NON_WORD
།		PUNCT
		
ཁ་	ཁ་	PRON
༽		PUNCT
འཕགསཔ་		NON_WORD
པལྷ་		NON_WORD
།		PUNCT
སྒྲཔགཅནཔའཛིན་		NON_WORD
།		PUNCT
སངསཔརྒྱསཔབངཔ་		NON_WORD
།		PUNCT
ཀྱེཔརྡོཔརྗེ་		NON_WORD
།		PUNCT
		
ག་	ག་	PRON
༽		PUNCT
ཟླཔགྲགས་		NON_WORD
།		PUNCT
རིགཔ་		NON_WORD
འིཔཁུཔབྱུགཔརྗེ་		NON_WORD
།		PUNCT
ཨཔཏིཔཤ་		NON_WORD
།		PUNCT
བདེཔམཆོག་		NON_WORD
།		PUNCT
		
ང་	ང་	PRON
༽		PUNCT
སྟོནཔ་		NON_WORD
།		PUNCT
བྱམསཔ་		NON_WORD
།		PUNCT
ཐོགསཔམེད་		NON_WORD
།		PUNCT
དུསཔའཁོར་		NON_WORD
།		PUNCT
		
ཅ་	ཅ་	OTHER
༽		PUNCT
དབྱིགཔགཉེན་		NON_WORD
།		PUNCT
གྲོལཔསྡེ་		NON_WORD
།		PUNCT
		
རྣམཔགྲོལཔསྡེ་		NON_WORD
།		PUNCT
རྡོཔརྗེཔརྣལའབྱོརཔམ་		NON_WORD
།		PUNCT
		
ཆ་	ཆ་	NOUN
༽		PUNCT
མཆོགཔགིཔསྡེ་		NON_WORD
།		PUNCT
རིནཔཆེནཔསྡེ་		NON_WORD
།		PUNCT
གསེརཔགླིངཔ་		NON_WORD
།		PUNCT
སྒྱུཔམཔཆེནཔ་		NON_WORD
ོ་		NON_WORD
།		PUNCT
		
ཇ་	ཇ་	OTHER
༽		PUNCT
		
རྡོཔརྗེཔའཆངཔ་		NON_WORD
།		PUNCT
ཀླུཔསྒྲུབ་		NON_WORD
།		PUNCT
མཔཏཾཔགི་		NON_WORD
།		PUNCT
གདནཔབཞི་		NON_WORD
།		PUNCT
		
ཉ་	ཉ་	NOUN
༽		PUNCT
ཕྱགཔརྡོར་		NON_WORD
།		PUNCT
སཔརཔཧ་		NON_WORD
།		PUNCT
ཌིངྒིཔ་		NON_WORD
།		PUNCT
སངསཔརྒྱསཔཐོདཔ་		NON_WORD
།		PUNCT
		
ཏ་	ཏ་	OTHER
		
༽		PUNCT
མཁཔའགྲོཔམཔ་		NON_WORD
		
སུཔམཔཏི་		NON_WORD
།		PUNCT
ཀུནཔཏཔབཟངཔམོ་		NON_WORD
།		PUNCT
ཀརྞཔརིཔ་		NON_WORD
།		PUNCT
རྣམཔཐོསཔསྲས་		NON_WORD
།		PUNCT
		
ཐ་	ཐ་	NOUN
		
༽		PUNCT
		
ཌོཾམྦྷིཔཧེཔརུཔཀཿ་		NON_WORD
བིཔནཔ་		NON_WORD
།		PUNCT
ལྭཔབཔ་		NON_WORD
།		PUNCT
མགོནཔ་		NON_WORD
ོཔཕྱགཔབཞི་		NON_WORD
།		PUNCT
		
ད་	ད་	ADV
༽		PUNCT
		
ཏིལླིཔ་		NON_WORD
།		PUNCT
ནཱཔརོཔ་		NON_WORD
ཎཔཆེན་		NON_WORD
།		PUNCT
ལྷོཔབྲགཔ་		NON_WORD
།		PUNCT
དུདཔསོལཔམ་		NON_WORD
།		PUNCT
		
ན་	ན་	ADP
༽		PUNCT
		
མིཔལཔརསཔ་		NON_WORD
།		PUNCT
སྒམཔ་		NON_WORD
ོཔ་		NON_WORD
།		PUNCT
ཕགཔགྲུ་		NON_WORD
།		PUNCT
ཚེཔརིངཔམ་		NON_WORD
།		PUNCT
འབྲིཔགུངཔ་		NON_WORD
།		PUNCT
སྤྱནཔསྔཔཤེརཔའབྱུངཔ་		NON_WORD
།		PUNCT
སྤྱནཔསྔཔགྲགསཔའབྱུངཔ་		NON_WORD
།		PUNCT
ཨཔཕྱིཔཆིབསཔཞོན་		NON_WORD
།		PUNCT
ཀུནཔདགའཔརིནཔཆེན་		NON_WORD
།		PUNCT
དཀཽགཔརཏྣ་		NON_WORD
།		PUNCT
དྷརྨཱཔཀིརྟི་		NON_WORD
།		PUNCT
ཀླུཔརྒྱལཔམལཔགྲོ་		NON_WORD
།		PUNCT
